id	filename	md5	size	state
4289b5a3-0838-49be-a550-08d8e503887f	8b47ae69-d2c4-4bbf-b06a-cc7dc49f0b7c.wxs.aliquot_ensemble_masked.maf.gz	4ee7fda61702b360713f362e54ac1c04	45961	released
4ad44d2e-f028-4ea3-a40b-ad7479dc0cce	f44e604b-b64f-4ca9-85c7-b3d21945b06f.wxs.aliquot_ensemble_masked.maf.gz	331e6a50cba123051e1f6ba859848b0e	44376	released
9e8d4b76-cdf4-4e68-b919-094120782dcc	b5f81b0a-7108-49ed-b624-319e71f88797.wxs.aliquot_ensemble_masked.maf.gz	d4c986f6f44c4c5919accfb979d78d46	53262	released
2882ae32-a300-4394-ac88-9a4c3715f935	2647adc9-eae8-432a-932e-e50c60cec958.wxs.aliquot_ensemble_masked.maf.gz	78ec7a0cd682dd0091e4e348a4417db4	18148	released
e37be459-5afd-4d79-b6e5-6f49bbcbcc04	61184f15-f67f-47b7-b24b-60df9aa2e613.wxs.aliquot_ensemble_masked.maf.gz	dcc6114eca50f1bec60e58cbd39d1c32	27166	released
35476cb8-f74b-4a24-bb40-b1eb6da2293b	9b5ae874-714b-48ba-84b5-ac79f42f5d22.wxs.aliquot_ensemble_masked.maf.gz	ccd26af5ccbb60a3f7f598868b2909dd	32284	released
a53b2240-f42d-4d58-8307-ffc670654e10	befa4fd5-60b3-4042-865b-23dc0ac32957.wxs.aliquot_ensemble_masked.maf.gz	d5c79e59323a30c7d99a01b4afaf4d61	11842	released
2c86f4bc-d73e-477c-a11d-684c66c2f9f9	080c288b-00ad-443e-be57-916649388fe4.wxs.aliquot_ensemble_masked.maf.gz	c6bcb76259040863e0b3ac88672535d9	18792	released
1c4fbe94-ae98-476d-a591-bb3b46deb763	082985ce-a7a6-4121-9334-7bb89e0677c3.wxs.aliquot_ensemble_masked.maf.gz	76e807ba9d3d9a8e4df0ddca5cb26d51	11738	released
4498dd33-e898-4ec6-93e8-55d4265bcff9	7f8ace78-ad1d-4a4e-ab7c-013c4b2c6922.wxs.aliquot_ensemble_masked.maf.gz	428eb592d148296a33638624bb18ad4b	35140	released
1bca69d9-83b5-4bb5-962c-2060ba1a04f8	73a1842a-1ff1-4f13-907f-ba0151b10f12.wxs.aliquot_ensemble_masked.maf.gz	572ded0bf38185fa948a53b8fa27a435	16148	released
b1ce52d4-fe04-44bf-bbcb-21d57fafed78	acc64b15-2a13-40f9-837e-52559d54a19a.wxs.aliquot_ensemble_masked.maf.gz	234f11af67ecbc97da0708896040e7c6	30865	released
c4db3e1f-d933-4310-8cba-de29d528cb2a	d7780854-c597-404b-9590-5acc3d0feeb0.wxs.aliquot_ensemble_masked.maf.gz	ba829f0627ab753aad65385d270f280a	17152	released
0742607d-cade-4d7b-b284-dd39b5b89bba	c658c099-a0af-41bc-8208-eb24d168322e.wxs.aliquot_ensemble_masked.maf.gz	9d26ee576f302068a337d8eecc2d1a50	44528	released
0a798d02-d047-4789-af8a-292e974d4a5b	31e707ed-a30b-42b3-a1ee-a1ee2f8b46ce.wxs.aliquot_ensemble_masked.maf.gz	f0aa92a0a38589e1ed3fb4880606b6e5	53469	released
e530afa8-d9e3-4d54-a697-b7ff0b037d58	baa96259-76ab-4089-9a9c-f3e5d07aa7fe.wxs.aliquot_ensemble_masked.maf.gz	429483832bf9a61c8f61f4471e1027f3	16218	released
49e98c5c-367b-42f3-ab92-4880e9a35358	c17b2a87-f5af-40c8-b7a9-c05ab1e8f109.wxs.aliquot_ensemble_masked.maf.gz	efe1a49a324cc6709343c060426ea75b	33551	released
9a5eb9fe-dc96-43e8-902a-fecd7ae8cab8	6c9095da-a2a4-48c8-be52-bd080946be3f.wxs.aliquot_ensemble_masked.maf.gz	4944315e42b0f85978318a7a906963f9	32744	released
941a8c59-cf4a-4593-9ce8-c7e8933153df	37c37673-5490-49cf-bb4a-9470b9ed5cb9.wxs.aliquot_ensemble_masked.maf.gz	c960a2b50e8c85232bc2027716e769f6	13345	released
4b5c841e-e40b-4ea9-b8b2-3913908168a5	0cb95531-3a78-41da-b56c-33dd1a1f1fad.wxs.aliquot_ensemble_masked.maf.gz	2d4a2bee44d29325aee43956cfe96033	12028	released
3839da40-759b-40fb-bce7-c3c05d933f31	c4ff6acb-90cf-4525-93a3-acc9a7c9964c.wxs.aliquot_ensemble_masked.maf.gz	d887186ceff00c209413afa24d591198	15901	released
f22f0055-4d21-4598-b0cd-2fdd53b71ce4	3f1aa2e4-4bf9-4c93-97b0-0546099fd41a.wxs.aliquot_ensemble_masked.maf.gz	50e48dd8a3e0957569ccc0a83a3d09e1	10432	released
868b1611-6681-4cde-9674-29ff5d1e4b83	8d3cfd95-2044-45f2-bfd4-7981ca6d7e38.wxs.aliquot_ensemble_masked.maf.gz	1660ef5d25cdd897a535cc1f44931a41	9387	released
54541ffa-9752-49b1-8d53-d39187a369ee	a36201df-688c-443d-81a7-d0041e373f44.wxs.aliquot_ensemble_masked.maf.gz	9606ca0600ecdaa1753f57484370c74f	11643	released
